object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_displayculture,_displaydate,_displayperiod,_objectnumber,_medium_detail,_image_valid,image_valid,is_duplicate
137808,Holland Tunnel,,,Woodcut,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/137808,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2021_65288,,,2020-356,2026-05-27,Unknown,Unknown,Wood,Unknown,0.55,,,,2020-356,Woodcut,,False,False
136877,Red-figure pyxis with a symposium,ca. 500–490 BCE,,Ceramic,"Greek, Attic",,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/136877,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2060517,,,2019-262 a-b,2026-05-27,c. 490 BCE,Unknown,Ceramic,"Greek, Attic",0.75,"Greek, Attic",ca. 500–490 BCE,,2019-262 a-b,Ceramic,,False,False
135914,"Colfax Point, Yosemite Valley",ca. 1863,,Albumen print,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135914,https://media.artmuseum.princeton.edu/iiif/3/collection/TC2019-88-1,,,2019-269,2026-05-27,ca. 1863,Unknown,Albumen,Unknown,0.65,,ca. 1863,,2019-269,Albumen print,,False,False
135810,Effigy vessel,ca. 1890,,Ceramic with black and white slip,Cochiti,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135810,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2020_62833,,,2019-217,2026-05-27,ca. 1890,Unknown,Ceramic,Cochiti,0.75,Cochiti,ca. 1890,,2019-217,Ceramic with black and white slip,,False,False
135666,Wrapper (adinkra),mid-20th century,,"Cotton, silk, and dye",,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135666,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2022_1878,,,2019-125,2026-05-27,mid-20th century,Unknown,Cotton,Unknown,0.65,,mid-20th century,,2019-125,"Cotton, silk, and dye",,False,False
135622,Country Doctor,"1948, printed ca. 1955",,Gelatin silver print,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135622,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2062296,,,2019-260,2026-05-27,"1948, printed ca. 1955",Unknown,Gelatin silver,Unknown,0.65,,"1948, printed ca. 1955",,2019-260,Gelatin silver print,,False,False
135613,"South African Gold Miners, Kimberley Mines, Johannesburg",1950,,Gelatin silver print,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135613,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2022_1783,,,2019-133,2026-05-27,1950,Unknown,Gelatin silver,Unknown,0.65,,1950,,2019-133,Gelatin silver print,,False,False
135354,Small ewer with phoenix head,"Song dynasty, 960–1279",,Qingbai 青白 ware; porcelaneous ware with light green-blue glaze,Chinese,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135354,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2018-1954840,,,2019-97,2026-05-27,Song dynasty (960-1279),Unknown,Qingbai 青白 ware; porcelaneous ware with light green-blue glaze,Chinese,0.75,Chinese,,"Song dynasty, 960–1279",2019-97,Qingbai 青白 ware; porcelaneous ware with light green-blue glaze,,False,False
135206,Apron (ubheshwana or isigege),1960s,,"Glass beads, cotton, seeds, string, and fishing wire",,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135206,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2020_62580,,,2019-11,2026-05-27,1960s,Unknown,Cotton,Unknown,0.65,,1960s,,2019-11,"Glass beads, cotton, seeds, string, and fishing wire",,False,False
134589,¿Qué es para Ud. la Poesía? (What is Poetry to You?),1980,,"16mm film, converted to digital video",,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/134589,https://media.artmuseum.princeton.edu/iiif/3/collection/cv_film,,,2019-20,2026-05-27,1980,Unknown,"16mm film, converted to digital video",Unknown,0.65,,1980,,2019-20,"16mm film, converted to digital video",,False,False
